縣市,行政區,人口數,已開店數,店家名稱,特殊狀態,備註,配額
宜蘭縣,宜蘭市,94396,1,宜蘭店,正常,,2
宜蘭縣,羅東鎮,68850,2,羅東店|羅東飯店,正常,,3
宜蘭縣,冬山鄉,52904,0,,正常,,1
宜蘭縣,五結鄉,41757,0,,正常,,1
基隆市,中正區,51434,2,One桌遊基隆海大店|弈錦玩桌遊基隆店,正常,,3
新北市,永和區,211205,1,咖麻起永和店,正常,,4
新北市,新店區,306636,1,腦力方新店北新店,正常,,5
新北市,土城區,242735,1,土城亞東店,正常,,4
新北市,中和區,403396,3,中和店|IN FUN中和店|ONE桌遊中和圓通店,正常,,8
新北市,新莊區,420922,2,新莊丹鳳店|新莊輔大店,正常,,7
新北市,樹林區,177130,3,麻利好室樹林店|麻利好室保安店|腦力方樹林大安,正常,,5
新北市,蘆洲區,196186,3,汪桌遊和平概念店|汪桌遊長安店|腦力方蘆洲中興,正常,,5
新北市,板橋區,549515,4,麻賽客館前店|IN FUN站前店|ONE板橋忠孝店|INFUN板橋2店,正常,,10
新北市,淡水區,208573,1,麻利好室淡大店,正常,,4
新北市,三峽區,115421,1,Give me 三峽,正常,,3
新北市,三重區,382749,1,三元四喜三重店,不開放,不開放（已授權同一業者）,5
新北市,汐止區,212807,0,,正常,,3
新北市,林口區,138630,0,,正常,,2
台北市,大安區,281679,0,,正常,,3
台北市,內湖區,267345,0,,正常,,3
台北市,士林區,257504,1,ONE桌遊士林劍潭店,正常,,4
台北市,文山區,253272,1,ONE文山店,正常,,4
台北市,北投區,235258,0,,正常,,3
台北市,中山區,211649,1,ONE桌遊台北復興北路店,正常,,4
台北市,信義區,201012,0,,正常,,3
台北市,松山區,187065,0,,正常,,2
台北市,萬華區,168261,0,,正常,,2
台北市,中正區,143821,1,ONE桌遊台北汀州店,正常,,3
台北市,南港區,120000,0,,正常,,2
台北市,大同區,115000,0,,正常,,2
桃園市,桃園區,478629,4,infun桃園|ONE 大林|ONE 桃園武陵店|ONE桌遊桃園夜市店,正常,,9
桃園市,中壢區,439290,4,內壢文化店|ONE 中原店|infun中壢中原|聚樂中壢龍岡店,正常,,9
桃園市,平鎮區,227870,1,桃園平鎮店,正常,,4
桃園市,八德區,216054,1,ONE 八德店,正常,,4
桃園市,龜山區,188562,2,東瀛龜山店|雀特GPT桌遊館A7,正常,,4
桃園市,楊梅區,182936,1,ONE桌遊楊梅店,正常,,3
桃園市,蘆竹區,170423,1,南崁店,正常,,3
桃園市,大園區,88432,1,ONE 大園店,正常,,2
桃園市,觀音區,76276,1,觀音草漯店,正常,,2
新竹市,北區,154124,2,星期八|infun新竹,正常,,4
新竹市,東區,222153,4,清大店|ONE心園|Give me貳樓桌遊館|新竹東區第4家(待補),正常,,7
新竹縣,湖口鄉,85086,2,湖口中山|鬥陣ONE,正常,,3
新竹縣,新豐鄉,59877,2,ONE新豐站前店|FAN新豐店,正常,,3
新竹縣,竹北市,221005,3,小雀幸|ONE高鐵店|ONE桌遊竹北店,不開放,舊約額滿,6
新竹縣,竹東鎮,97844,1,麻上玩竹中店,正常,,2
苗栗縣,頭份市,108294,2,麻上玩|尚順店,不開放,舊約額滿,4
